Time [s],X [g],Y [g],Z [g]
1848.837167,-0.03622714,0.03067539,1.003474
1848.8383723,-0.03408428,0.02284767,1.004711
1848.8395775,-0.0226956,0.02073132,1.000205
1848.8407828,-0.02587225,0.02263291,0.9971398
1848.841988,-0.02686749,0.02178215,0.9947846
1848.8431933,-0.0178941,0.01920601,0.9880224
1848.8443985,-0.01647814,0.01549635,0.9785147
1848.8456038,-0.01774666,0.0136685,0.9751262
1848.846809,-0.01326174,0.01265322,0.9743407
1848.8480143,-0.01635025,0.007008712,0.9680691
1848.8492196,-0.01399206,0.003339064,0.9606665
1848.8504248,-0.01644695,-0.000905476,0.9605668
1848.8516301,-0.01734971,-0.000114246,0.9566911
1848.8528353,-0.01468261,0.0003932011,0.9484811
1848.8540406,-0.01545055,-0.003921838,0.9514633
1848.8552458,-0.01258855,-0.00728655,0.9480103
1848.8564511,-0.01580569,-0.005568081,0.9484421
1848.8576563,-0.01036452,-0.002540465,0.9461434
1848.8588616,-0.009892106,-0.006865454,0.9462405
1848.8600668,-0.00446485,-0.004945179,0.9480554
1848.8612721,-0.003345773,-0.00808088,0.9465182
1848.8624773,0.0001562685,-0.0121257,0.9444022
1848.8636826,-0.0006921887,-0.01465572,0.9436111
1848.8648879,-0.0006627589,-0.01094739,0.9469299
1848.8660931,-0.003910884,-0.003768839,0.9468929
1848.8672984,-0.003539756,-0.001814279,0.9455673
1848.8685036,-0.006379128,-0.005242964,0.9444174
1848.8697089,-0.01118048,-0.002797973,0.9463134
1848.8709141,-0.01746906,-0.005424563,0.9511437
1848.8721194,-0.01987498,0.0005454638,0.9578354
1848.8733246,-0.02314846,0.0007726809,0.9641562
1848.8745299,-0.02097374,0.002444357,0.9618463
1848.8757351,-0.02321549,0.001995841,0.9757708
1848.8769404,-0.01677495,0.00731386,0.9937479
1848.8781456,-0.03790042,-0.0005661325,0.9822418
1848.8793509,-0.05312198,-0.002889118,0.9618307
1848.8805561,-0.04743689,0.001278745,0.9529172
1848.8817614,-0.04498938,0.002757352,0.948245
1848.8829667,-0.06235693,0.00260283,0.9471426
1848.8841719,-0.07498777,-0.0009570629,0.9490237
1848.8853772,-0.08779809,0.005712201,0.9387988
1848.8865824,-0.08675997,0.01541524,0.9347122
1848.8877877,-0.08309303,0.02162337,0.9326184
1848.8889929,-0.08244501,0.02748064,0.9328225
1848.8901982,-0.07571256,0.02034499,0.9357755
1848.8914034,-0.06535245,0.02326315,0.9518095
1848.8926087,-0.04854253,0.02225353,0.962664
1848.8938139,-0.03238566,0.02069069,0.9853578
1848.8950192,-0.01915903,0.02092461,1.003955
1848.8962244,-0.008674055,0.02599991,1.016417
1848.8974297,-0.001843646,0.02521282,1.02209
1848.898635,0.009788632,0.02188678,1.031132
1848.8998402,0.0131833,0.02555654,1.037455
1848.9010455,0.008728519,0.02349423,1.034494
1848.9022507,0.008303732,0.02433487,1.035168
1848.903456,0.007189691,0.02596208,1.03652
1848.9046612,0.005981669,0.02925339,1.028054
1848.9058665,-0.000768289,0.02852923,1.019496
1848.9070717,-0.002881512,0.02453445,1.01353
1848.908277,-0.0004080832,0.02375398,1.006633
1848.9094822,-0.001948133,0.02007377,1.000517
1848.9106875,-0.002458677,0.02148857,0.9945102
1848.9118927,-0.003200844,0.01915299,0.9942212
1848.913098,-0.001234576,0.01215215,0.9873725
1848.9143032,-0.001836807,0.002802687,0.9872872
1848.9155085,-0.005121097,0.001111353,0.9866521
1848.9167138,-0.01250193,0.0005094119,0.9895166
1848.917919,-0.0138628,-0.0002901414,0.9904345
1848.9191243,-0.01940759,0.0003922454,0.9907894
1848.9203295,-0.02416421,-0.00501631,0.9888893
1848.9215348,-0.02613705,-0.001432235,0.988601
1848.92274,-0.02952622,-0.00249711,0.9917259
1848.9239453,-0.03631404,0.002662994,0.9947819
1848.9251505,-0.04064633,-0.003008717,1.005227
1848.9263558,-0.04911442,0.002759477,1.00864
1848.927561,-0.05193526,0.01331233,0.9987838
1848.9287663,-0.05409898,0.007121719,1.003508
1848.9299715,-0.05649093,0.01210407,1.00503
1848.9311768,-0.06867206,0.0170554,1.008478
1848.9323821,-0.07768022,0.01687809,1.00244
1848.9335873,-0.08764376,0.01707824,1.006739
1848.9347926,-0.08625504,0.02271686,1.015474
1848.9359978,-0.0927407,0.02565257,1.030197
1848.9372031,-0.09566994,0.03143658,1.03702
1848.9384083,-0.1013979,0.03082805,1.035834
1848.9396136,-0.1025053,0.03589679,1.041112
1848.9408188,-0.1034845,0.03555294,1.042054
1848.9420241,-0.1039887,0.03817657,1.053644
1848.9432293,-0.09998348,0.04418803,1.059629
1848.9444346,-0.09851979,0.0438718,1.06827
1848.9456398,-0.103303,0.04647987,1.080202
1848.9468451,-0.09696317,0.05206621,1.08867
1848.9480503,-0.09607293,0.05600268,1.095271
1848.9492556,-0.09924933,0.05772995,1.08813
1848.9504609,-0.1000809,0.05591509,1.082371
1848.9516661,-0.09250233,0.05760819,1.088078
1848.9528714,-0.08728899,0.05951228,1.087466
1848.9540766,-0.09443943,0.06686365,1.091471
1848.9552819,-0.0827678,0.0709561,1.095363
1848.9564871,-0.08571681,0.07575568,1.092405
1848.9576924,-0.08472615,0.07617586,1.094866
1848.9588976,-0.09095068,0.09244204,1.097764
1848.9601029,-0.1006948,0.09913379,1.099934
1848.9613081,-0.1086774,0.1043928,1.106265
1848.9625134,-0.1126286,0.1066521,1.117104
1848.9637186,-0.1266111,0.1135794,1.123071
1848.9649239,-0.1384085,0.1205729,1.136512
1848.9661292,-0.1514846,0.1296613,1.140169
1848.9673344,-0.1520749,0.1285625,1.143459
1848.9685397,-0.1590749,0.1347073,1.135342
1848.9697449,-0.1519559,0.1299226,1.129096
1848.9709502,-0.1504722,0.1345275,1.11493
1848.9721554,-0.1433661,0.1267613,1.101515
1848.9733607,-0.1463646,0.1204773,1.09117
1848.9745659,-0.1385137,0.1218666,1.083584
1848.9757712,-0.1333139,0.1092044,1.072648
1848.9769764,-0.1258382,0.1061897,1.053381
1848.9781817,-0.1211052,0.08500614,1.049281
1848.9793869,-0.1119471,0.06316046,1.039904
1848.9805922,-0.1044798,0.04435524,1.032425
1848.9817974,-0.08928567,0.01294502,1.00653
1848.9830027,-0.05660632,-0.07100859,0.9806327
1848.984208,-0.006357297,-0.2203043,0.9337057
1848.9854132,0.0363545,-0.2581174,0.8859604
1848.9866185,0.02663794,-0.1372985,0.8528202
1848.9878237,-0.02920119,0.01760459,0.8258084
1848.989029,-0.2283452,0.05171674,0.6733835
1848.9902342,-0.5509812,0.1371416,0.3365744
1848.9914395,-0.09737293,0.2225169,0.5383046
1848.9926447,0.1127974,0.2007285,0.7396695
1848.99385,0.1509061,0.09733883,0.9259964
1848.9950552,0.1425844,-0.04571456,1.069616
1848.9962605,0.1521599,-0.1760832,1.162828
1848.9974657,0.1929372,-0.270071,1.212009
1848.998671,0.2303666,-0.3067796,1.230366
1848.9998763,0.2550243,-0.3000714,1.224253
1849.0010815,0.2589775,-0.2655629,1.209454
1849.0022868,0.2534738,-0.2032812,1.191429
1849.003492,0.2412686,-0.1395695,1.171288
1849.0046973,0.2380866,-0.07654747,1.158263
1849.0059025,0.2316033,-0.02321082,1.16178
1849.0071078,0.2186157,0.007139934,1.172298
1849.008313,0.2196068,0.02218039,1.174734
1849.0095183,0.2165679,0.01983836,1.177325
1849.0107235,0.2123597,0.006070855,1.171099
1849.0119288,0.2082746,-0.005493272,1.166724
1849.013134,0.199599,-0.01510308,1.159742
1849.0143393,0.1970261,-0.02348438,1.146727
1849.0155445,0.1812654,-0.02847556,1.132682
1849.0167498,0.16429,-0.02084681,1.118996
1849.0179551,0.1447174,-0.02008728,1.100261
1849.0191603,0.1318433,-0.01346456,1.100712
1849.0203656,0.1169614,-0.006422939,1.088778
1849.0215708,0.09944543,0.0009679436,1.082562
1849.0227761,0.08990712,0.003621413,1.086643
1849.0239813,0.07592329,0.01018263,1.095291
1849.0251866,0.07266963,0.01110786,1.091447
1849.0263918,0.06031094,0.01130554,1.099906
1849.0275971,0.06639785,0.0113019,1.104738
1849.0288023,0.06659372,0.004364057,1.102866
1849.0300076,0.07642129,0.001741788,1.111442
1849.0312128,0.08202431,-0.0006530541,1.114119
1849.0324181,0.08798468,-0.01057801,1.111077
1849.0336234,0.09275995,-0.01543984,1.107914
1849.0348286,0.09578884,-0.02086245,1.096732
1849.0360339,0.09725653,-0.03041164,1.09662
1849.0372391,0.09596342,-0.02558056,1.086862
1849.0384444,0.09960519,-0.03266735,1.071786
1849.0396496,0.0954681,-0.03792115,1.066273
1849.0408549,0.09657876,-0.03412695,1.059738
1849.0420601,0.0922481,-0.03427421,1.052679
1849.0432654,0.09072956,-0.03258804,1.04779
1849.0444706,0.08954749,-0.03005842,1.04448
1849.0456759,0.08282399,-0.01618351,1.03983
1849.0468811,0.0861847,-0.01535422,1.047029
1849.0480864,0.07835184,0.005328755,1.052485
1849.0492917,0.07774499,0.01438301,1.056234
1849.0504969,0.06918074,0.02722816,1.06767
1849.0517022,0.06267136,0.0419532,1.077977
1849.0529074,0.04902671,0.0489104,1.090108
1849.0541127,0.04636069,0.0621758,1.10708
1849.0553179,0.03726883,0.07719123,1.117525
1849.0565232,0.02724385,0.07839852,1.136294
1849.0577284,0.02094531,0.09077953,1.148383
1849.0589337,0.01057771,0.09805357,1.152586
1849.0601389,0.001026466,0.107238,1.164214
1849.0613442,-0.003744632,0.1085295,1.16554
1849.0625494,-0.01210088,0.1198057,1.175658
1849.0637547,-0.0180531,0.1239374,1.175296
1849.0649599,-0.0249757,0.1250891,1.178428
1849.0661652,-0.03271379,0.1292953,1.184211
1849.0673705,-0.02998188,0.1296827,1.183716
1849.0685757,-0.03037922,0.1320736,1.176031
1849.069781,-0.03088467,0.1307324,1.166513
1849.0709862,-0.02811797,0.1241122,1.1636
1849.0721915,-0.02559248,0.1254284,1.160799
1849.0733967,-0.02103597,0.1196058,1.143858
1849.074602,-0.01408727,0.1083676,1.139578
1849.0758072,-0.01606941,0.1062855,1.130389
1849.0770125,-0.01611766,0.09690569,1.119614
1849.0782177,-0.01280542,0.09117818,1.11038
1849.079423,-0.01503882,0.08425656,1.106101
1849.0806282,-0.01216182,0.07762009,1.096723
1849.0818335,-0.009004638,0.06750799,1.091143
1849.0830388,-0.005120307,0.0639716,1.087911
1849.084244,-0.003945902,0.05539855,1.082314
1849.0854493,-0.003688022,0.04779528,1.075498
1849.0866545,-0.007054821,0.0426244,1.071842
1849.0878598,-0.002315804,0.03269943,1.063977
1849.089065,-0.004242733,0.03305444,1.058083
1849.0902703,0.0006428212,0.0217059,1.051926
1849.0914755,0.002818465,0.02060778,1.049484
1849.0926808,0.0073006,0.01441418,1.054026
1849.093886,0.03054158,0.0006097959,1.030818
1849.0950913,0.1185719,-0.1017947,0.9885216
1849.0962965,0.1786988,-0.2260355,0.9915345
1849.0975018,0.1921962,-0.2829474,0.9941073
1849.098707,0.1803034,-0.2730233,0.9692168
1849.0999123,0.2254092,-0.2821606,0.9342728
1849.1011176,0.2631856,-0.2894304,0.8544917
1849.1023228,0.2227399,-0.2449517,0.8199985
1849.1035281,0.1975561,-0.1885113,0.8048283
1849.1047333,0.1701796,-0.1526451,0.7968965
1849.1059386,0.1261413,-0.112677,0.7949826
1849.1071438,0.09795813,-0.08612844,0.7883148
1849.1083491,0.06014788,-0.05534114,0.7940408
1849.1095543,0.03005525,-0.03933427,0.7992598
1849.1107596,0.00219658,-0.02676685,0.8307304
1849.1119648,-0.0226137,-0.01471948,0.8666842
1849.1131701,-0.04766724,-0.01308377,0.9162111
1849.1143753,-0.06438588,-0.007776971,0.9664531
1849.1155806,-0.07252611,-0.005028788,1.005466
1849.1167859,-0.07324634,-0.002807802,1.035706
1849.1179911,-0.08003262,0.001022622,1.065071
1849.1191964,-0.07208994,0.004299901,1.080777
1849.1204016,-0.07027319,0.002403855,1.081275
1849.1216069,-0.05696234,-0.0009798954,1.076727
1849.1228121,-0.03559449,-0.002019872,1.06794
1849.1240174,-0.02218395,-0.002327148,1.055153
1849.1252226,-0.006498873,-0.01437106,1.05727
1849.1264279,0.006014735,-0.01778251,1.037051
1849.1276331,0.02260482,-0.02137611,1.017876
1849.1288384,0.03031491,-0.02713281,1.014403
1849.1300436,0.03753354,-0.02749957,1.005543
1849.1312489,0.03973718,-0.02911476,0.9945115
1849.1324541,0.0469754,-0.03582359,0.9872079
1849.1336594,0.04291779,-0.04271524,0.9817234
1849.1348647,0.04296829,-0.04254631,0.9787202
1849.1360699,0.04052374,-0.05158505,0.9713045
1849.1372752,0.04097129,-0.05321563,0.9636041
1849.1384804,0.03605004,-0.05794535,0.9661314
1849.1396857,0.03054978,-0.05999199,0.9605168
1849.1408909,0.02749911,-0.06589654,0.9592585
1849.1420962,0.028023,-0.07050531,0.9558896
1849.1433014,0.02220753,-0.07634092,0.957016
1849.1445067,0.01881939,-0.08036464,0.951456
1849.1457119,0.02227978,-0.07697841,0.951443
1849.1469172,0.0211338,-0.07588093,0.9456191
1849.1481224,0.01534709,-0.08169065,0.9421107
1849.1493277,0.01197495,-0.08012675,0.9412684
1849.150533,0.00589028,-0.07985701,0.9458445
1849.1517382,0.006534323,-0.0729837,0.9435617
1849.1529435,0.0006778836,-0.07342435,0.9521501
1849.1541487,0.003984258,-0.07510207,0.9583858
1849.155354,0.0104427,-0.06760088,0.9720232
1849.1565592,0.01687352,-0.06609312,0.9803305
1849.1577645,0.01839004,-0.06793524,0.9897896
1849.1589697,0.02787961,-0.06025506,0.9935117
1849.160175,0.03429976,-0.06022575,1.00436
1849.1613802,0.04550345,-0.05926554,1.011937
1849.1625855,0.05480312,-0.05510718,1.023537
1849.1637907,0.06137682,-0.05412561,1.028526
1849.164996,0.06322287,-0.04609766,1.028288
1849.1662012,0.0640344,-0.04464494,1.037023
1849.1674065,0.06200872,-0.03684397,1.053549
1849.1686118,0.06940235,-0.03100267,1.062443
1849.169817,0.06267421,-0.02492486,1.070048
1849.1710223,0.06499165,-0.02273621,1.08338
1849.1722275,0.05502966,-0.01205509,1.091449
1849.1734328,0.05085111,0.002661756,1.102633
1849.174638,0.04726572,0.0004490598,1.11707
1849.1758433,0.04486455,0.002241126,1.127158
1849.1770485,0.03980429,0.006038845,1.142231
